id;kategori_pertanyaan;intent;pertanyaan;jawaban;rekomendasi
89;FAQ;BIAYA;min harga kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
90;FAQ;BIAYA;selamat malam biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
91;FAQ;BIAYA;halo kak tarif kegiatan berapa ya kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
92;FAQ;BIAYA;kak harga kegiatan berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
93;FAQ;BIAYA;tarif kegiatan brapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
94;FAQ;BIAYA;selamat malam biayaa kidsland brp ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
95;FAQ;BIAYA;selamat malam biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
96;FAQ;BIAYA;permisi kalau ikut bayar berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
97;FAQ;BIAYA;permisi harga kegiatan berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
98;FAQ;BIAYA;min kalau ikut bayar brapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
99;FAQ;BIAYA;permisi harga kegiatan berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
100;FAQ;BIAYA;min kalau ikut bayar berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
101;FAQ;BIAYA;selamat malam berapa biaya kidsland ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
102;FAQ;BIAYA;selamat malam tarif kegiatan berapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
103;FAQ;BIAYA;min kalau ikut bayar berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
104;FAQ;BIAYA;tarif kegiatan brapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
105;FAQ;BIAYA;biayaa kidsland brp?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
106;FAQ;BIAYA;min biayaa kidsland brp;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
107;FAQ;BIAYA;permisi harga kegiatan berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
108;FAQ;BIAYA;brp biaya kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
109;FAQ;BIAYA;min kalau ikut bayar brapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
110;FAQ;BIAYA;biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
111;FAQ;BIAYA;selamat malam tarif kegiatan brapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
112;FAQ;BIAYA;halo kak biayaa kidsland brp;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
113;FAQ;BIAYA;brp biayaa kidsland dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
114;FAQ;BIAYA;kak biayaa kidsland brp?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
115;FAQ;BIAYA;permisi harga kegiatan berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
116;FAQ;BIAYA;selamat malam tarif kegiatan brapa kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
117;FAQ;BIAYA;permisi harga kegiatan berapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
118;FAQ;BIAYA;permisi biayaa kidsland brp dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
119;FAQ;BIAYA;kak biayaa kidsland brp kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
120;FAQ;BIAYA;permisi biayaa kidsland brp ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
121;FAQ;BIAYA;min harga kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
122;FAQ;BIAYA;kak berapa biayaa kidsland ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
123;FAQ;BIAYA;selamat malam tarif kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
124;FAQ;BIAYA;min brp biaya kidsland;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
125;FAQ;BIAYA;selamat malam tarif kegiatan brapa dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
126;FAQ;BIAYA;halo kak brapa biaya kidsland dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
127;FAQ;BIAYA;harga kegiatan berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
128;FAQ;BIAYA;selamat malam biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
129;FAQ;BIAYA;permisi brp biaya kidsland dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
130;FAQ;BIAYA;min kalau ikut bayar berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
131;FAQ;BIAYA;halo kak berapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
132;FAQ;BIAYA;halo kak harga kegiatan berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
133;FAQ;BIAYA;harga kegiatan berapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
134;FAQ;BIAYA;kak brp biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
135;FAQ;BIAYA;selamat malam biayaa kidsland brp;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
136;FAQ;BIAYA;selamat malam berapa biayaa kidsland ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
137;FAQ;BIAYA;min brp biaya kidsland;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
138;FAQ;BIAYA;harga kegiatan berapa dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
139;FAQ;BIAYA;kalau ikut bayar brapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
140;FAQ;BIAYA;permisi harga kegiatan brapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
141;FAQ;BIAYA;kak brapa biaya kidsland ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
142;FAQ;BIAYA;min biayaa kidsland brp dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
143;FAQ;BIAYA;permisi harga kegiatan berapa;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
144;FAQ;BIAYA;permisi kalau ikut bayar berapa nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
145;FAQ;BIAYA;min tarif kegiatan berapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
146;FAQ;BIAYA;biayaa kidsland brp dong kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
147;FAQ;BIAYA;kak harga kegiatan berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
148;FAQ;BIAYA;permisi brapa biaya kidsland nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
149;FAQ;BIAYA;permisi brp biaya kidsland dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
150;FAQ;BIAYA;permisi biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
151;FAQ;BIAYA;selamat malam biayaa kidsland brp?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
152;FAQ;BIAYA;halo kak brp biaya kidsland dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
153;FAQ;BIAYA;kak kalau ikut bayar berapa ya;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
154;FAQ;BIAYA;selamat malam biayaa kidsland brp nih;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
155;FAQ;BIAYA;selamat malam kalau ikut bayar brapa?;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
156;FAQ;BIAYA;biayaa kidsland brp dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
157;FAQ;BIAYA;halo kak brp biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
158;FAQ;BIAYA;min berapa biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
159;FAQ;BIAYA;permisi biayaa kidsland brp dong;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
160;FAQ;BIAYA;kak brp biaya kidsland kak;Biaya kegiatan Kidsland Membumi berkisar Rp35.000-Rp40.000 per sesi tergantung aktivitas yang dilaksanakan.;
