id,pertanyaan,jawaban,kategori,cleaning,case_folding,normalisasi,tokenisasi,stopword_removal
11,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
12,ank usiaa 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usiaa tahun cocok aktivitas apa,ank usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
13,jadwal kegiatan kidsland kapn ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn ya,jadwal kegiatan kidsland kapn ya,jadwal kegiatan kidsland kapn ya,"['jadwal', 'kegiatan', 'kidsland', 'kapn', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'kapn', 'ya']"
14,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
15,kelas bumi utk usia berap dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usia berap dong,kelas bumi utk usia berap dong,kelas bumi untuk usia berap dong,"['kelas', 'bumi', 'untuk', 'usia', 'berap', 'dong']","['kelas', 'bumi', 'usia', 'berap']"
16,jadwal kegiatan kidsland kapan dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'dong']","['jadwal', 'kegiatan', 'kidsland']"
17,lokasi kegiatan dimana dong,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,"['lokasi', 'kegiatan', 'dimana', 'dong']","['lokasi', 'kegiatan', 'dimana']"
18,kelas awan untuk usia berapa...,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
19,anak usiaa 3 tahun cocok aktivitas ap...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
20,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
21,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
22,anak usiaa 5 tahun cocok aktivitas ap,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
23,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
24,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
25,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
26,jadwal kegiatan kidsland kapn?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
27,jdwl kegiatan kidsland kapn dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn dong,jdwl kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,"['jadwal', 'kegiatan', 'kidsland', 'kapn', 'dong']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
28,anak suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
29,ank usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
30,jdwl kegiatan kidsland kapn??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn,jdwl kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
31,ank usia 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa ya,ank usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
32,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
33,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
34,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
35,kls bumi untuk usia berapa dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi untuk usia berapa dong,kls bumi untuk usia berapa dong,kelas bumi untuk usia berapa dong,"['kelas', 'bumi', 'untuk', 'usia', 'berapa', 'dong']","['kelas', 'bumi', 'usia']"
36,kls bumi untuk usia berap...,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi untuk usia berap,kls bumi untuk usia berap,kelas bumi untuk usia berap,"['kelas', 'bumi', 'untuk', 'usia', 'berap']","['kelas', 'bumi', 'usia', 'berap']"
37,anak usiaa 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,anak usiaa tahun cocok aktivitas apa ya,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ya']"
38,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
39,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
40,kelas bumi untuk usiaa berapa dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usiaa berapa dong,kelas bumi untuk usiaa berapa dong,kelas bumi untuk usiaa berapa dong,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa', 'dong']","['kelas', 'bumi', 'usiaa']"
41,jdwl kegiatan kidsland kapn dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn dong,jdwl kegiatan kidsland kapn dong,jadwal kegiatan kidsland kapn dong,"['jadwal', 'kegiatan', 'kidsland', 'kapn', 'dong']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
42,anak usia 5 tahun cocok aktivitas apa dong,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'dong']","['anak', 'usia', 'cocok', 'aktivitas']"
43,kelas bumi utk usia brp?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usia brp,kelas bumi utk usia brp,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
44,jadwal kegiatan kidsland kapn...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
45,anak usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
46,anak usiaa 5 tahun cocok aktivitas ap ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas ap ya,anak usiaa tahun cocok aktivitas ap ya,anak usiaa tahun cocok aktivitas ap ya,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap', 'ya']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap', 'ya']"
47,kls awan untuk usia berapa??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usia berapa,kls awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
48,jdwl kegiatan kidsland kapn?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn,jdwl kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
49,ank usiaa 5 tahun cocok aktivitas apa dong,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usiaa tahun cocok aktivitas apa dong,ank usiaa tahun cocok aktivitas apa dong,anak usiaa tahun cocok aktivitas apa dong,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa', 'dong']","['anak', 'usiaa', 'cocok', 'aktivitas']"
50,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
51,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
52,kelas bumi untuk usia berapa?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
53,kelas awan untuk usiaa berapa,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
54,kls awan untuk usia berapa,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan untuk usia berapa,kls awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
55,lokasi kegiatan dimana?,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
56,kls awan utk usia brp dong,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan utk usia brp dong,kls awan utk usia brp dong,kelas awan untuk usia berapa dong,"['kelas', 'awan', 'untuk', 'usia', 'berapa', 'dong']","['kelas', 'awan', 'usia']"
57,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
58,jadwal kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
59,kelas bumi untuk usia berapa ya,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa ya,kelas bumi untuk usia berapa ya,kelas bumi untuk usia berapa ya,"['kelas', 'bumi', 'untuk', 'usia', 'berapa', 'ya']","['kelas', 'bumi', 'usia', 'ya']"
60,kelas awan untuk usiaa berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
61,jadwal kegiatan kidsland kapn??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
62,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
63,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
64,anak usia 5 tahun cocok aktivitas apa...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
65,kelas awan untuk usia brp dong,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia brp dong,kelas awan untuk usia brp dong,kelas awan untuk usia berapa dong,"['kelas', 'awan', 'untuk', 'usia', 'berapa', 'dong']","['kelas', 'awan', 'usia']"
66,jadwal kegiatan kidsland kapan,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
67,kelas awan untuk usiaa berapa dong,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berapa dong,kelas awan untuk usiaa berapa dong,kelas awan untuk usiaa berapa dong,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa', 'dong']","['kelas', 'awan', 'usiaa']"
68,kelas awan untuk usia berapa??,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
69,ank usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
70,ank usia 3 tahun cocok aktivitas ap?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usia tahun cocok aktivitas ap,ank usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
71,kelas bumi utk usia berap?,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usia berap,kelas bumi utk usia berap,kelas bumi untuk usia berap,"['kelas', 'bumi', 'untuk', 'usia', 'berap']","['kelas', 'bumi', 'usia', 'berap']"
72,jadwal kegiatan kidsland kapan??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
73,ank suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
74,jdwl kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan ya,jdwl kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
75,anak suka menggambar dong,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar dong,anak suka menggambar dong,anak suka menggambar dong,"['anak', 'suka', 'menggambar', 'dong']","['anak', 'suka', 'menggambar']"
76,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
77,kelas awan untuk usia berapa...,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
78,kls bumi untuk usia brp,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi untuk usia brp,kls bumi untuk usia brp,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
79,anak suka menggambar ya,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar ya,anak suka menggambar ya,anak suka menggambar ya,"['anak', 'suka', 'menggambar', 'ya']","['anak', 'suka', 'menggambar', 'ya']"
80,kelas bumi utk usiaa berapa??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usiaa berapa,kelas bumi utk usiaa berapa,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
81,anak usia 3 tahun cocok aktivitas apa?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
82,jadwal kegiatan kidsland kapn?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
83,kls awan utk usia berapa?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kls awan utk usia berapa,kls awan utk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
84,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
85,jadwal kegiatan kidsland kapan dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'dong']","['jadwal', 'kegiatan', 'kidsland']"
86,anak usia 3 tahun cocok aktivitas apa??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
87,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
